"","Mode","ORegionDAT","DRegionDAT","yw","sanitized_cost","prcp","tavg","tmax","tmin","approx_cost","diesel_price"
"115","R","CA_FRS","IL_CHI",2019 W11,1.46234575905399,0.00384615384615385,54.2857142857143,68,42.2857142857143,1.46234575905399,3.079
"116","R","CA_FRS","IL_CHI",2019 W12,1.65236805878017,0.0215789473684211,59.4285714285714,70.2857142857143,49.4285714285714,1.65236805878017,3.07
"117","R","CA_FRS","IL_CHI",2019 W13,1.6983702411872,0.0170909090909091,59.7142857142857,71.8571428571429,49.1428571428571,1.6983702411872,3.08
"118","R","CA_FRS","IL_CHI",2019 W14,1.76827040688788,0.0427118644067797,62.7142857142857,74.2857142857143,52,1.76827040688788,3.078
"119","R","CA_FRS","IL_CHI",2019 W15,1.89132718039075,0,63.5714285714286,74.7142857142857,51.5714285714286,1.89132718039075,3.093
"120","R","CA_FRS","IL_CHI",2019 W16,1.86655350310879,0.0354901960784314,66.1428571428571,78.7142857142857,53.5714285714286,1.86655350310879,3.118
"121","R","CA_FRS","IL_CHI",2019 W17,1.92321465054991,0,75.5714285714286,90.1428571428571,61.2857142857143,1.92321465054991,3.147
"122","R","CA_FRS","IL_CHI",2019 W18,1.88843552331025,0,69.4285714285714,81,55.8571428571429,1.88843552331025,3.169
"123","R","CA_FRS","IL_CHI",2019 W19,1.88871366587507,0.0092,69.1428571428571,81.5714285714286,58,1.88871366587507,3.171
"124","R","CA_FRS","IL_CHI",2019 W20,1.8773271027433,0.293584905660377,64.8571428571429,73.4285714285714,55.2857142857143,1.8773271027433,3.16
"125","R","CA_FRS","IL_CHI",2019 W21,1.90701750993378,0.0982352941176471,61.7142857142857,70.4285714285714,54.1428571428571,1.90701750993378,3.163
"126","R","CA_FRS","IL_CHI",2019 W22,2.03024419435646,0.0694,70.4285714285714,83.5714285714286,60.5714285714286,2.03024419435646,3.151
"127","R","CA_FRS","IL_CHI",2019 W23,2.00345702064311,0,79.1428571428571,92.1428571428571,65.4285714285714,2.00345702064311,3.136
"128","R","CA_FRS","IL_CHI",2019 W24,2.04069975734635,0,84.7142857142857,98.4285714285714,70.1428571428571,2.04069975734635,3.105
"129","R","CA_FRS","IL_CHI",2019 W25,2.04804793768457,0,82.2857142857143,95.2857142857143,69.1428571428571,2.04804793768457,3.07
"130","R","CA_FRS","IL_CHI",2019 W26,2.05349602483086,0,78.7142857142857,91.8571428571429,64.1428571428571,2.05349602483086,3.043
"131","R","CA_FRS","IL_CHI",2019 W27,1.98925370628532,0,80.5714285714286,94.4285714285714,65.7142857142857,1.98925370628532,3.042
"132","R","CA_FRS","IL_CHI",2019 W28,1.96046774960161,0,82.5714285714286,98,67.2857142857143,1.96046774960161,3.055
"133","R","CA_FRS","IL_CHI",2019 W29,1.95513904243549,0,83.4285714285714,97.7142857142857,68.8571428571429,1.95513904243549,3.051
"134","R","CA_FRS","IL_CHI",2019 W30,1.93805500949082,0.000731707317073171,90.1428571428571,104.857142857143,76.1428571428571,1.93805500949082,3.044
"135","R","CA_FRS","IL_CHI",2019 W31,1.89216120681413,0,85.1428571428571,101.142857142857,69.5714285714286,1.89216120681413,3.034
"136","R","CA_FRS","IL_CHI",2019 W32,1.85869792606448,0,82.4285714285714,96.2857142857143,68.4285714285714,1.85869792606448,3.032
"137","R","CA_FRS","IL_CHI",2019 W33,1.84267725516189,0,86.1428571428571,101.857142857143,71,1.84267725516189,3.011
"138","R","CA_FRS","IL_CHI",2019 W34,1.82611287234063,0,83.2857142857143,98.1428571428571,69.5714285714286,1.82611287234063,2.994
"139","R","CA_FRS","IL_CHI",2019 W35,1.83247273234536,0,86.1428571428571,100.857142857143,71.7142857142857,1.83247273234536,2.983
"140","R","CA_FRS","IL_CHI",2019 W36,1.80950619099398,0,84.1428571428571,97.7142857142857,70.5714285714286,1.80950619099398,2.976
"141","R","CA_FRS","IL_CHI",2019 W37,1.79041617256646,0,78,93,63.7142857142857,1.79041617256646,2.971
"142","R","CA_FRS","IL_CHI",2019 W38,1.75032709914389,0,72,85.1428571428571,59.4285714285714,1.75032709914389,2.987
"143","R","CA_FRS","IL_CHI",2019 W39,1.73825166996358,0,75.2857142857143,87.2857142857143,62.7142857142857,1.73825166996358,3.081
"144","R","CA_FRS","IL_CHI",2019 W40,1.73805701795823,0,64.2857142857143,79,51.2857142857143,1.73805701795823,3.066
"145","R","CA_FRS","IL_CHI",2019 W41,1.62988397358965,0,67.8571428571429,83,53.4285714285714,1.62988397358965,3.047
"146","R","CA_FRS","IL_CHI",2019 W42,1.62745934924074,0,64.5714285714286,77.5714285714286,52.1428571428571,1.62745934924074,3.051
"147","R","CA_FRS","IL_CHI",2019 W43,1.66578387375517,0,67.7142857142857,81.7142857142857,54.2857142857143,1.66578387375517,3.05
"148","R","CA_FRS","IL_CHI",2019 W44,1.70795789552081,0.0238095238095238,56.7142857142857,72.1428571428571,43,1.70795789552081,3.064
"149","R","CA_FRS","IL_CHI",2019 W45,1.81981244604467,0,61.8571428571429,79.1428571428571,47.4285714285714,1.81981244604467,3.062
"150","R","CA_FRS","IL_CHI",2019 W46,1.8557619628802,0,60.7142857142857,74.7142857142857,48.8571428571429,1.8557619628802,3.073
"151","R","CA_FRS","IL_CHI",2019 W47,1.90426110540648,0,56.2857142857143,69.2857142857143,46,1.90426110540648,3.074
"152","R","CA_FRS","IL_CHI",2019 W48,NA,0.2406,47.4285714285714,53.8571428571429,40.2857142857143,1.82580646905625,3.066
"153","R","CA_FRS","IL_CHI",2019 W49,1.74735183270603,0.185263157894737,55.1428571428571,62.8571428571429,48.2857142857143,1.74735183270603,3.07
"154","R","CA_FRS","IL_CHI",2019 W50,1.80730531516218,0.0661111111111111,52.1428571428571,58.5714285714286,45.5714285714286,1.80730531516218,3.049
"155","R","CA_FRS","IL_CHI",2019 W51,1.81110889956615,0.00391304347826087,49.7142857142857,60.4285714285714,41,1.81110889956615,3.046
"156","R","CA_FRS","IL_CHI",2019 W52,1.80761454110952,0.0801785714285714,47.2857142857143,53.4285714285714,41.1428571428571,1.80761454110952,3.041
"157","R","CA_FRS","IL_CHI",2020 W01,1.82648410492627,0.00152173913043478,48.2857142857143,59.2857142857143,39.2857142857143,1.82648410492627,3.069
"158","R","CA_FRS","IL_CHI",2020 W02,1.73747908800309,0.0402040816326531,45,51.8571428571429,39,1.73747908800309,3.079
"159","R","CA_FRS","IL_CHI",2020 W03,1.63580365848374,0.095,44.4285714285714,53.5714285714286,37,1.63580365848374,3.064
"160","R","CA_FRS","IL_CHI",2020 W04,1.60363254580743,0.00584905660377358,52.2857142857143,60.8571428571429,45.7142857142857,1.60363254580743,3.037
"161","R","CA_FRS","IL_CHI",2020 W05,1.58708087322527,0,51.4285714285714,62.1428571428571,41.7142857142857,1.58708087322527,3.01
"162","R","CA_FRS","IL_CHI",2020 W06,1.4670211906597,0,47.4285714285714,60.5714285714286,35.7142857142857,1.4670211906597,2.956
"163","R","CA_FRS","IL_CHI",2020 W07,1.42827245088369,0,53.2857142857143,68.4285714285714,40,1.42827245088369,2.91
"164","R","CA_FRS","IL_CHI",2020 W08,1.4338538077876,0.000625,56.8571428571429,69,44.4285714285714,1.4338538077876,2.89
"165","R","CA_FRS","IL_CHI",2020 W09,1.50697456404909,0.000208333333333333,61,74.2857142857143,47.7142857142857,1.50697456404909,2.882
"166","R","CA_FRS","IL_CHI",2020 W10,1.57400659104272,0,58.1428571428571,72.1428571428571,45.8571428571429,1.57400659104272,2.851
"167","R","CA_FRS","IL_CHI",2020 W11,1.77286039492542,0.0691666666666667,60.1428571428571,69.8571428571429,51.4285714285714,1.77286039492542,2.814
"168","R","CA_FRS","IL_CHI",2020 W12,1.74688324458314,0.2225,52.2857142857143,61.1428571428571,44.4285714285714,1.74688324458314,2.733
"169","R","CA_FRS","IL_CHI",2020 W13,1.59760540226827,0.17258064516129,53.4285714285714,61.4285714285714,46.1428571428571,1.59760540226827,2.659
"170","R","CA_FRS","IL_CHI",2020 W14,1.61797276417069,0.0427272727272727,57.5714285714286,68.7142857142857,45.8571428571429,1.61797276417069,2.586
"171","R","CA_FRS","IL_CHI",2020 W15,1.62463118809693,0.239344262295082,56.5714285714286,65.5714285714286,48.5714285714286,1.62463118809693,2.548
"172","R","CA_FRS","IL_CHI",2020 W16,1.63480210464566,0.0241666666666667,64.2857142857143,75.5714285714286,54.2857142857143,1.63480210464566,2.507
"173","R","CA_FRS","IL_CHI",2020 W17,1.75442722772951,0.0170588235294118,68.8571428571429,81.7142857142857,57.1428571428571,1.75442722772951,2.48
"174","R","CA_FRS","IL_CHI",2020 W18,1.93088458552691,0,73.2857142857143,86.4285714285714,59,1.93088458552691,2.437
"175","R","CA_FRS","IL_CHI",2020 W19,1.9437682779721,0,74.8571428571429,91.1428571428571,59.1428571428571,1.9437682779721,2.399
"176","R","CA_FRS","IL_CHI",2020 W20,2.13867181256786,0.00477272727272727,69.8571428571429,82.2857142857143,57.7142857142857,2.13867181256786,2.394
"177","R","CA_FRS","IL_CHI",2020 W21,2.13298936889224,0.0276363636363636,68.4285714285714,80.5714285714286,56.2857142857143,2.13298936889224,2.386
"178","R","CA_FRS","IL_CHI",2020 W22,2.12434706624213,0,83,95.7142857142857,68.2857142857143,2.12434706624213,2.39
"179","R","CA_FRS","IL_CHI",2020 W23,2.07246205771441,0,77.8571428571429,90.7142857142857,64.5714285714286,2.07246205771441,2.386
"180","R","CA_FRS","IL_CHI",2020 W24,2.08201276831864,0.000909090909090909,75.1428571428571,89.2857142857143,60.5714285714286,2.08201276831864,2.396
"181","R","CA_FRS","IL_CHI",2020 W25,2.07806757217333,0,79.4285714285714,93.8571428571429,64.7142857142857,2.07806757217333,2.403
"182","R","CA_FRS","IL_CHI",2020 W26,2.08967483991537,0,88.1428571428571,101.571428571429,72.5714285714286,2.08967483991537,2.425
"183","R","CA_FRS","IL_CHI",2020 W27,2.06237010566292,0,80.1428571428571,95.4285714285714,65.5714285714286,2.06237010566292,2.43
"184","R","CA_FRS","IL_CHI",2020 W28,2.09430541634516,0,85.4285714285714,101,69.1428571428571,2.09430541634516,2.437
"185","R","CA_FRS","IL_CHI",2020 W29,2.20417522607913,0,85.5714285714286,100.285714285714,70.5714285714286,2.20417522607913,2.438
"186","R","CA_FRS","IL_CHI",2020 W30,2.23568629889255,0,83.1428571428571,97.8571428571429,69,2.23568629889255,2.433
"187","R","CA_FRS","IL_CHI",2020 W31,2.17339781988118,0,86.4285714285714,102.571428571429,69.7142857142857,2.17339781988118,2.427
"188","R","CA_FRS","IL_CHI",2020 W32,2.13349374153024,0,82.1428571428571,96.8571428571429,67.5714285714286,2.13349374153024,2.424
"189","R","CA_FRS","IL_CHI",2020 W33,2.10799624996651,0,89,103.857142857143,74.7142857142857,2.10799624996651,2.428
"190","R","CA_FRS","IL_CHI",2020 W34,2.09222100030675,0,88.4285714285714,101.571428571429,76.4285714285714,2.09222100030675,2.427
"191","R","CA_FRS","IL_CHI",2020 W35,2.14606050662937,0,84.8571428571429,99.4285714285714,71.2857142857143,2.14606050662937,2.426
