Mode,ORegionDAT,DRegionDAT,yearweek,sanitized_cost
R,CA_FRS,IL_CHI,2021-23,3.1984084586683563
R,CA_FRS,IL_CHI,2021-24,3.097933736416468
R,CA_FRS,IL_CHI,2021-25,3.10185901416458
R,CA_FRS,IL_CHI,2021-26,3.1521842919126914
R,CA_FRS,MA_BOS,2017-06,1.653512285771561
R,CA_FRS,MA_BOS,2017-07,1.58976726917777
R,CA_FRS,MA_BOS,2017-10,1.5864082038665503
R,CA_FRS,MA_BOS,2017-11,1.6898985287103103
R,CA_FRS,MA_BOS,2017-12,1.7093875048375609
R,CA_FRS,MA_BOS,2017-13,1.7712406576837596
R,CA_FRS,MA_BOS,2017-14,1.817488088693768
R,CA_FRS,MA_BOS,2017-15,1.995941086769449
R,CA_FRS,MA_BOS,2017-16,1.9722486983932854
R,CA_FRS,MA_BOS,2017-17,1.8977453761495093
R,CA_FRS,MA_BOS,2017-18,2.0052945100750277
R,CA_FRS,MA_BOS,2017-19,1.983641324557298
R,CA_FRS,MA_BOS,2017-20,2.1154469782711094
R,CA_FRS,MA_BOS,2017-21,2.292742443210532
R,CA_FRS,MA_BOS,2017-22,2.32232356549881
R,CA_FRS,MA_BOS,2017-23,2.397922689056029
R,CA_FRS,MA_BOS,2017-25,2.1331914452599277
R,CA_FRS,MA_BOS,2017-26,2.1741058902553894
R,CA_FRS,MA_BOS,2017-27,2.152503314028523
R,CA_FRS,MA_BOS,2017-28,2.065339640306307
R,CA_FRS,MA_BOS,2017-29,1.9861430437670868
R,CA_FRS,MA_BOS,2017-30,1.954223248964111
R,CA_FRS,MA_BOS,2017-31,1.9324435949581136
R,CA_FRS,MA_BOS,2017-32,1.9258306298685715
R,CA_FRS,MA_BOS,2017-34,1.8941762189114135
R,CA_FRS,MA_BOS,2017-35,1.9112320905792315
R,CA_FRS,MA_BOS,2017-36,1.909398427395719
R,CA_FRS,MA_BOS,2017-38,1.9401651560961448
R,CA_FRS,MA_BOS,2017-39,1.9667491222965467
R,CA_FRS,MA_BOS,2017-40,2.187136903999986
R,CA_FRS,MA_BOS,2017-41,1.9735848515307977
R,CA_FRS,MA_BOS,2017-42,1.9603203906300362
R,CA_FRS,MA_BOS,2017-43,1.9769807780977278
R,CA_FRS,MA_BOS,2017-44,2.197903600994035
R,CA_FRS,MA_BOS,2017-45,2.231299024471658
R,CA_FRS,MA_BOS,2017-46,2.3742996452832457
R,CA_FRS,MA_BOS,2017-47,2.362965181673574
R,CA_FRS,MA_BOS,2017-49,2.3048734388305343
R,CA_FRS,MA_BOS,2017-50,2.3133291076323843
R,CA_FRS,MA_BOS,2017-52,2.796298763173105
R,CA_FRS,MA_BOS,2018-04,2.1227843724186695
R,CA_FRS,MA_BOS,2018-05,1.967381451003975
R,CA_FRS,MA_BOS,2018-06,2.0158391969340856
R,CA_FRS,MA_BOS,2018-08,2.026046382612764
R,CA_FRS,MA_BOS,2018-11,2.122093190618841
R,CA_FRS,MA_BOS,2018-12,2.1538498140649143
R,CA_FRS,MA_BOS,2018-13,2.207198927228945
R,CA_FRS,MA_BOS,2018-14,2.253733207159633
R,CA_FRS,MA_BOS,2018-15,2.3228595580176714
R,CA_FRS,MA_BOS,2018-16,2.3936095554545678
R,CA_FRS,MA_BOS,2018-17,2.4162265701476833
R,CA_FRS,MA_BOS,2018-18,2.3923662914927584
R,CA_FRS,MA_BOS,2018-19,2.4016545248956485
R,CA_FRS,MA_BOS,2018-20,2.62583817310152
R,CA_FRS,MA_BOS,2018-21,2.685500158131958
R,CA_FRS,MA_BOS,2018-22,2.9399297569937235
R,CA_FRS,MA_BOS,2018-23,2.86831475232783
R,CA_FRS,MA_BOS,2018-24,2.732100600051048
R,CA_FRS,MA_BOS,2018-25,2.780055230562409
R,CA_FRS,MA_BOS,2018-26,2.6432596262639363
R,CA_FRS,MA_BOS,2018-27,2.4718847912899693
R,CA_FRS,MA_BOS,2018-28,2.5035299591471643
R,CA_FRS,MA_BOS,2018-29,2.447075258936411
R,CA_FRS,MA_BOS,2018-30,2.3989188513850594
R,CA_FRS,MA_BOS,2018-31,2.3633203286554205
R,CA_FRS,MA_BOS,2018-33,2.3158775258810347
R,CA_FRS,MA_BOS,2018-34,2.3673103004356646
R,CA_FRS,MA_BOS,2018-35,2.3157636819557252
R,CA_FRS,MA_BOS,2018-36,2.279697090686662
R,CA_FRS,MA_BOS,2018-37,2.342518790821437
R,CA_FRS,MA_BOS,2018-38,2.295671321993807
R,CA_FRS,MA_BOS,2018-39,2.2421500790490363
R,CA_FRS,MA_BOS,2018-40,2.247161491680837
R,CA_FRS,MA_BOS,2018-41,2.179326526999513
R,CA_FRS,MA_BOS,2018-42,2.220281566218775
R,CA_FRS,MA_BOS,2018-43,2.2298331118982104
R,CA_FRS,MA_BOS,2018-44,2.4584893870260838
R,CA_FRS,MA_BOS,2018-45,2.635831363436883
R,CA_FRS,MA_BOS,2018-46,2.458740109632691
R,CA_FRS,MA_BOS,2018-47,2.247653616755213
R,CA_FRS,MA_BOS,2018-48,2.1731328923650253
R,CA_FRS,MA_BOS,2018-50,2.1830105883174573
R,CA_FRS,MA_BOS,2019-00,2.2878953932197437
R,CA_FRS,MA_BOS,2019-01,2.1549719527346967
R,CA_FRS,MA_BOS,2019-04,1.7824561669036147
R,CA_FRS,MA_BOS,2019-05,1.7177975276852526
R,CA_FRS,MA_BOS,2019-05,1.7119975276852526
R,CA_FRS,MA_BOS,2019-07,1.6827423367644503
R,CA_FRS,MA_BOS,2019-08,1.8313098021834282
R,CA_FRS,MA_BOS,2019-10,1.7517003525188612
R,CA_FRS,MA_BOS,2019-11,1.7865068174354084
R,CA_FRS,MA_BOS,2019-12,1.8056441326258863
R,CA_FRS,MA_BOS,2019-13,1.8039837261446958
R,CA_FRS,MA_BOS,2019-14,1.9154798832656086
R,CA_FRS,MA_BOS,2019-15,2.0202182959345345
R,CA_FRS,MA_BOS,2019-16,2.037418014822073
R,CA_FRS,MA_BOS,2019-17,2.036919535395559
R,CA_FRS,MA_BOS,2019-18,1.9947234829309177
R,CA_FRS,MA_BOS,2019-19,2.0023773205818767
R,CA_FRS,MA_BOS,2019-20,2.0151993586734185
R,CA_FRS,MA_BOS,2019-22,2.164504563791032
R,CA_FRS,MA_BOS,2019-23,2.2343634173782743
R,CA_FRS,MA_BOS,2019-24,2.183232999558872
R,CA_FRS,MA_BOS,2019-25,2.2422086719616425
R,CA_FRS,MA_BOS,2019-26,2.2152784772175735
R,CA_FRS,MA_BOS,2019-27,2.1521827096547272
R,CA_FRS,MA_BOS,2019-28,2.0855772871163967
R,CA_FRS,MA_BOS,2019-29,2.0706968649029323
R,CA_FRS,MA_BOS,2019-30,2.0425039134940293
R,CA_FRS,MA_BOS,2019-31,1.9885308964013557
R,CA_FRS,MA_BOS,2019-32,1.9856514056341321
R,CA_FRS,MA_BOS,2019-33,1.9416710405250968
R,CA_FRS,MA_BOS,2019-34,1.9633927601336407
R,CA_FRS,MA_BOS,2019-35,1.9911775804603922
R,CA_FRS,MA_BOS,2019-36,2.0043204273289668
R,CA_FRS,MA_BOS,2019-37,1.9833983794552856
R,CA_FRS,MA_BOS,2019-38,1.9063580917386718
R,CA_FRS,MA_BOS,2019-39,1.8964095839922681
R,CA_FRS,MA_BOS,2019-40,1.8820665498113596
R,CA_FRS,MA_BOS,2019-41,1.8491660236357828
R,CA_FRS,MA_BOS,2019-42,1.8429775313228844
R,CA_FRS,MA_BOS,2019-43,1.8930612077705107
R,CA_FRS,MA_BOS,2019-44,1.8824467040893245
R,CA_FRS,MA_BOS,2019-45,1.966835148692831
R,CA_FRS,MA_BOS,2019-46,2.1322645984449964
R,CA_FRS,MA_BOS,2019-47,2.0319695760597507
R,CA_FRS,MA_BOS,2019-49,1.9469621716631234
R,CA_FRS,MA_BOS,2020-00,2.2212298331810674
R,CA_FRS,MA_BOS,2020-01,2.012197170146599
R,CA_FRS,MA_BOS,2020-02,1.9684935111954176
