"","yw","Mode","ORegionDAT","DRegionDAT","approx_cost","sanitized_cost","prcp","tavg","tmax","tmin","diesel_price","deaths","pandemic","volume","new_deaths","tmax_lag_12","tmax_lag_8","tmax_lag_4","tmax_lag_2","prcp_lag_12","prcp_lag_8","prcp_lag_4","prcp_lag_2"
"320","2018 W33","R","CA_FRS","MA_BOS",2.315877526,2.315877526,0,85.14285714,101.4285714,69.57142857,3.217,0,0,0,0,99.1190476033335,101.94642854875,102.535714250001,101.78571425,0,0,0,0
"321","2018 W34","R","CA_FRS","MA_BOS",2.3673103,2.3673103,0,79.71428571,95.28571429,63.85714286,3.207,0,0,0,0,99.3452380799999,101.55357140625,100.321428547501,98.3571428449995,0,0,0,0
"322","2018 W35","R","CA_FRS","MA_BOS",2.315763682,2.315763682,0,77,91.14285714,63.57142857,3.226,0,0,0,0,99.4642856991668,100.46428569125,97.4999999824995,93.2142857149993,0,0,0,0
"323","2018 W36","R","CA_FRS","MA_BOS",2.279697091,2.279697091,0,83.14285714,98.85714286,68.57142857,3.252,0,0,0,0,99.8928571283335,99.9821428362502,96.6785714224998,95,0,0,0,0
"324","2018 W37","R","CA_FRS","MA_BOS",2.342518791,2.342518791,0,74.85714286,89,60.57142857,3.258,0,0,0,0,99.1547618900001,98.0535714112502,93.5714285724998,93.9285714300004,0,0,0,0
"325","2018 W38","R","CA_FRS","MA_BOS",2.295671322,2.295671322,0,75.57142857,92.14285714,60,3.268,0,0,0,0,98.6309523658335,96.5535714162502,92.7857142849998,90.5714285699996,0,0,0,0
"326","2018 W39","R","CA_FRS","MA_BOS",2.242150079,2.242150079,0,76.42857143,91.42857143,61.85714286,3.271,0,0,0,0,97.9285714133333,95.1785714199996,92.8571428574996,91.7857142849989,0,0,0,0
"327","2018 W40","R","CA_FRS","MA_BOS",2.247161492,2.247161492,0.055208333,70.57142857,81.28571429,61.14285714,3.313,0,0,0,0,96.1428571291669,92.57142856875,88.4642857150002,86.3571428600007,0.00460069441666677,0.00690104162500016,0.0138020832500003,0.0276041665000006
"328","2018 W41","R","CA_FRS","MA_BOS",2.179326527,2.179326527,0,68,80.28571429,56.28571429,3.385,0,0,0,0,94.1309523700002,89.9285714299999,86.2857142875,80.7857142900011,0.00460069441666677,0.00690104162500016,0.0138020832500003,0.0276041665000006
"329","2018 W42","R","CA_FRS","MA_BOS",2.220281566,2.220281566,0,67.71428571,83.14285714,53.28571429,3.394,0,0,0,0,92.3809523733335,88.4107142862499,84.0357142875,81.7142857149993,0.00460069441666677,0.00690104162500016,0.0138020832500003,0
