"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-04-21","0.00","0.0","0.0",,"93","59",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-04-22","0.00","0.0","0.0",,"94","62",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-04-23","0.00","0.0","0.0",,"96","63",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-04-24","0.00","0.0","0.0",,"89","67",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-04-25","0.00","0.0","0.0",,"85","68",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-04-26","0.00","0.0","0.0",,"87","62",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-04-27","0.00","0.0","0.0",,"87","66",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-04-28","0.00","0.0","0.0",,"84","63",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-04-29","0.00","0.0","0.0",,"79","56",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-04-30","0.00","0.0","0.0",,"85","54",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-05-01","0.00","0.0","0.0",,"92","59",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-05-02","0.00","0.0","0.0",,"94","63",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-05-03","0.00","0.0","0.0",,"98","67",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-05-04","0.00","0.0","0.0",,"101","70",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-05-05","0.00","0.0","0.0",,"106","69",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-05-06","0.00","0.0","0.0",,"96","73",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-05-07","0.00","0.0","0.0",,"73","63",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-05-08","0.00","0.0","0.0",,"81","58",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-05-09","0.12","0.0","0.0",,"73","56",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-05-10","0.00","0.0","0.0",,"77","58",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-05-11","0.00","0.0","0.0",,"89","60",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-05-12","0.00","0.0","0.0",,"95","68",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-05-13","0.00","0.0","0.0",,"96","69",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-05-14","0.00","0.0","0.0",,"91","69",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-05-15","0.00","0.0","0.0",,"85","66",
